TIME,DATE,TC-1,TC-2,TC-3,TC-4,TC-5,TC-6,TC-7,TC-8,TC-9,PRESSURE,HEATER,HEATER SET POINT
14:17:56,04/04/2025,34.9,35.3,35.3,35.3,35.3,31.4,31.1,31.3,30.1,-0.63,43,170
14:17:57,04/04/2025,34.9,35.3,35.3,35.3,35.3,31.4,31.1,31.3,30.1,-0.63,43,170
14:17:59,04/04/2025,34.9,35.3,35.3,35.3,35.3,31.4,31.1,31.3,30.1,-0.63,43,170
14:18:00,04/04/2025,34.9,35.3,35.3,35.3,35.3,31.4,31.1,31.3,30.1,-0.63,43,170
14:18:02,04/04/2025,35.3,36.3,35.6,35.6,35.3,31.4,31.1,31.3,30.1,-0.63,43,170
14:18:03,04/04/2025,35.3,36.3,35.6,35.6,35.5,31.5,31.3,31.3,30.2,-0.64,43,170
14:18:05,04/04/2025,35.3,36.3,35.6,35.6,35.5,31.5,31.3,31.3,30.2,-0.64,43,170
14:18:07,04/04/2025,35.5,37.7,35.7,35.8,35.7,31.5,31.3,31.3,30.2,-0.64,43,170
14:18:08,04/04/2025,35.5,37.7,35.7,35.8,35.7,31.5,31.3,31.3,30.2,-0.63,43,170
14:18:09,04/04/2025,35.5,37.7,35.7,35.8,35.7,31.5,31.3,31.3,30.2,-0.63,43,170
14:18:11,04/04/2025,35.5,37.7,35.7,35.8,35.7,31.5,31.3,31.3,30.2,-0.63,43,170
14:18:12,04/04/2025,35.8,38.0,36.0,36.0,35.8,31.5,31.3,31.3,30.2,-0.63,43,170
14:18:13,04/04/2025,35.8,38.0,36.0,36.0,35.8,31.4,31.2,31.3,30.2,-0.63,43,170
14:18:14,04/04/2025,35.8,38.0,36.0,36.0,35.8,31.4,31.2,31.3,30.2,-0.63,44,170
14:18:17,04/04/2025,35.8,38.0,36.0,36.0,35.8,31.4,31.2,31.3,30.2,-0.63,44,170
14:18:22,04/04/2025,35.8,38.0,36.0,36.0,35.8,31.4,31.2,31.3,30.2,-0.63,44,170
14:18:24,04/04/2025,35.8,38.0,36.0,36.0,35.8,31.4,31.2,31.3,30.2,-0.63,44,170
14:18:25,04/04/2025,36.2,38.3,36.2,36.2,35.8,31.4,31.2,31.3,30.2,-0.63,44,170
14:18:26,04/04/2025,36.2,38.3,36.2,36.2,36.3,31.5,31.3,31.3,30.2,-0.63,44,170
14:18:28,04/04/2025,36.2,38.3,36.2,36.2,36.3,31.5,31.3,31.3,30.2,-0.64,44,170
14:18:29,04/04/2025,36.2,38.3,36.2,36.2,36.3,31.5,31.3,31.3,30.2,-0.64,44,170
14:18:30,04/04/2025,36.2,38.3,36.2,36.2,36.3,31.5,31.3,31.3,30.2,-0.64,44,170
14:18:34,04/04/2025,36.2,38.3,36.2,36.2,36.3,31.5,31.3,31.3,30.2,-0.64,44,170
14:18:39,04/04/2025,36.2,38.3,36.2,36.2,36.3,31.5,31.3,31.3,30.2,-0.64,44,170
14:18:40,04/04/2025,36.5,38.6,36.5,36.5,36.5,31.5,31.3,31.3,30.2,-0.64,44,170
14:18:41,04/04/2025,36.5,38.6,36.5,36.5,36.5,31.5,31.3,31.4,30.2,-0.64,44,170
14:18:42,04/04/2025,36.5,38.6,36.5,36.5,36.5,31.5,31.3,31.4,30.2,-0.64,44,170
14:18:46,04/04/2025,36.5,38.6,36.5,36.5,36.5,31.5,31.3,31.4,30.2,-0.64,44,170
14:18:47,04/04/2025,36.5,38.6,36.5,36.5,36.5,31.5,31.3,31.4,30.2,-0.64,44,170
14:18:48,04/04/2025,36.7,38.8,36.7,36.7,36.7,31.5,31.3,31.4,30.2,-0.64,44,170
14:18:50,04/04/2025,36.7,38.8,36.7,36.7,36.7,31.6,31.3,31.4,30.2,-0.63,44,170
14:18:51,04/04/2025,36.7,38.8,36.7,36.7,36.7,31.6,31.3,31.4,30.2,-0.63,44,170
14:18:53,04/04/2025,36.7,38.8,36.7,36.7,36.7,31.6,31.3,31.4,30.2,-0.63,44,170
14:18:54,04/04/2025,36.7,38.8,36.7,36.7,36.8,31.6,31.3,31.4,30.2,-0.63,44,170
14:18:55,04/04/2025,36.7,38.8,36.7,36.7,36.8,31.6,31.3,31.4,30.3,-0.63,44,170
14:18:56,04/04/2025,36.7,38.8,36.7,36.7,36.8,31.6,31.3,31.4,30.3,-0.62,44,170
14:18:59,04/04/2025,36.7,38.8,36.7,36.7,36.8,31.6,31.3,31.4,30.3,-0.62,44,170
14:19:00,04/04/2025,36.7,38.8,36.7,36.7,36.8,31.6,31.3,31.4,30.3,-0.62,44,170
14:19:02,04/04/2025,36.7,38.8,36.7,36.7,36.8,31.6,31.3,31.4,30.3,-0.62,44,170
14:19:03,04/04/2025,36.8,38.8,36.8,36.8,36.9,31.6,31.3,31.4,30.3,-0.62,44,170
14:19:04,04/04/2025,36.8,38.8,36.8,36.8,36.9,31.7,31.4,31.5,30.2,-0.62,44,170
14:19:05,04/04/2025,36.8,38.8,36.8,36.8,36.9,31.7,31.4,31.5,30.2,-0.64,44,170
14:19:06,04/04/2025,36.8,38.8,36.8,36.8,36.9,31.7,31.4,31.5,30.2,-0.64,44,170
14:19:07,04/04/2025,36.8,38.8,36.8,36.8,36.9,31.7,31.4,31.5,30.2,-0.64,44,170
14:19:10,04/04/2025,36.8,38.8,36.8,36.8,36.9,31.7,31.4,31.5,30.2,-0.64,44,170
14:19:12,04/04/2025,36.8,38.8,36.8,36.8,36.9,31.7,31.4,31.5,30.2,-0.64,44,170
14:19:13,04/04/2025,36.9,38.9,36.8,36.9,37.0,31.7,31.4,31.5,30.2,-0.64,44,170
14:19:14,04/04/2025,36.9,38.9,36.8,36.9,37.0,31.6,31.4,31.5,30.2,-0.64,44,170
14:19:16,04/04/2025,36.9,38.9,36.8,36.9,37.0,31.6,31.4,31.5,30.2,-0.65,44,170
14:19:19,04/04/2025,36.9,38.9,36.8,36.9,37.0,31.6,31.4,31.5,30.2,-0.65,44,170
14:19:20,04/04/2025,36.9,38.9,36.8,36.9,37.0,31.6,31.4,31.5,30.2,-0.65,44,170
14:19:22,04/04/2025,36.9,38.9,36.8,36.9,37.0,31.6,31.4,31.5,30.2,-0.65,44,170
14:19:24,04/04/2025,36.9,38.9,37.0,37.0,37.0,31.6,31.4,31.5,30.2,-0.65,44,170
14:19:25,04/04/2025,36.9,38.9,37.0,37.0,37.1,31.7,31.4,31.5,30.2,-0.65,44,170
14:19:26,04/04/2025,36.9,38.9,37.0,37.0,37.1,31.7,31.4,31.5,30.2,-0.62,44,170
14:19:27,04/04/2025,36.9,38.9,37.0,37.0,37.1,31.7,31.4,31.5,30.2,-0.62,44,170
14:19:30,04/04/2025,36.9,38.9,37.0,37.0,37.1,31.7,31.4,31.5,30.2,-0.62,44,170
14:19:32,04/04/2025,36.9,38.9,37.0,37.0,37.1,31.7,31.4,31.5,30.2,-0.62,44,170
14:19:33,04/04/2025,37.0,38.3,37.2,37.2,37.2,31.7,31.4,31.5,30.2,-0.62,44,170
14:19:34,04/04/2025,37.0,38.3,37.2,37.2,37.2,31.7,31.4,31.5,30.3,-0.62,44,170
