voltage,current,power,FR[%],Q[W],alpha,beta,P[bar],Te_mean[K],Tc_mean[K],Te_std[K],Tc_std[K],T_pulse[K],TR_train[K/W]
71.4,1.051,75.1,60,80,90,0,1.443,363.71,340.725,274.0234987,283.4709738,314.55,0.2873125000000002
73.6,1.083,79.9,60,80,30,0,0.893,352.97,314.275,274.0944575,279.4678979,335.47,0.48368749999999994
74.4,1.085,80.9,60,80,0,0,0.573,395.31,303.725,273.7728965,274.4725606,327.27,1.1448124999999998
63.3,0.933,59.1,60,60,60,0,0.893,353.69,314.7,274.0816652,282.0724436,342.29,0.6498333333333335
82.9,1.216,100.9,60,100,30,0,1.143,360.43,334.325,274.6186729,290.5289864,338.17,0.2610499999999996
73.4,1.085,79.7,60,80,0,0,0.473,321.17,302.75,273.7474948,274.2239336,327.27,0.23024999999999948
72.4,1.066,77.3,60,80,90,0,1.153,357.77,322.75,274.5053597,286.772775,314.55,0.43774999999999975
63.9,0.947,60.6,60,60,90,0,0.413,309.85,305.8,273.5437004,274.2530261,337.87,0.06750000000000018
74,1.084,80.3,60,80,60,0,1.233,360.11,329.925,274.1002631,284.8622087,371.51,0.3773125000000007
51.9,0.768,40,60,40,0,0,0.603,339.33,303.825,273.4363564,274.543736,353.75,0.8876249999999999
71.5,1.053,75.6,60,80,90,0,1.453,363.93,338.275,273.7474948,285.4027208,314.55,0.3206874999999997
73.4,1.082,79.7,60,80,60,0,0.703,335.55,305.2,273.6027693,274.1972185,371.51,0.3793749999999996
74.4,1.092,81.4,60,80,0,0,0.723,356.87,303.25,273.6903702,274.3527746,327.27,0.67025
52.7,0.781,41.2,60,40,90,0,0.653,348.65,306.025,273.5858899,274.4700379,322.31,1.065625
90.1,1.332,120.5,60,120,90,0,0.653,338.27,304.225,273.9818654,274.4801002,0,0.28370833333333345
52.2,0.775,40.5,60,40,0,0,0.473,317.59,303.925,273.4630495,274.6160036,353.75,0.3416250000000005
83,1.219,101.3,60,100,30,0,1.013,357.21,339.575,274.5775854,285.9005229,338.17,0.1763499999999999
74.3,1.09,81.2,60,80,0,0,0.743,364.37,303.4,273.6618594,274.39499,327.27,0.7621250000000004
89.6,1.319,118.3,60,120,90,0,1.163,358.23,333.5,275.3080083,288.3325558,0,0.206083333333333
73.8,1.084,80,60,80,60,0,1.313,361.97,336.625,274.0891486,283.5456321,371.51,0.3168124999999996
52.8,0.783,41.4,60,40,90,0,0.703,351.19,308.1,274.2167708,276.7513886,322.31,1.0772500000000007
74.4,1.088,81.1,60,80,0,0,0.593,378.87,305.075,274.008487,275.307738,327.27,0.9224375000000002
90.1,1.323,119.5,60,120,90,0,1.903,369.79,363.65,274.0292042,281.5086283,0,0.051166666666666555
72.2,1.063,76.9,60,80,90,0,1.253,359.47,337.75,275.0818385,289.7437739,314.55,0.27149999999999963
63.4,0.931,59.2,60,60,0,0,0.963,369.55,305.725,273.6295832,275.5918231,352.85,1.0637499999999998
63.5,0.935,59.4,60,60,30,0,0.893,354.33,311.125,274.2800442,279.9029623,351.05,0.7200833333333331
89.9,1.332,119.9,60,120,90,0,0.633,332.25,304.2,273.9342194,274.5296135,0,0.2337500000000001
63.7,0.942,60.1,60,60,30,0,0.633,339.75,304.625,273.4891165,274.2031698,351.05,0.5854166666666667
63.4,0.936,59.4,60,60,60,0,0.713,350.07,303.775,273.8963243,274.8280445,342.29,0.7715833333333336
81.5,1.199,98,60,100,60,0,0.953,357.25,319.55,276.0013155,284.3963327,362.37,0.37700000000000045
81.8,1.203,98.5,60,100,60,0,0.853,356.45,313,277.15,282.5409531,362.37,0.4344999999999999
73.5,1.087,79.9,60,80,0,0,0.463,318.25,302.725,273.7664414,274.2031698,327.27,0.19406250000000042
82.6,1.212,100.2,60,100,30,0,1.083,361.43,334,275.922544,290.9418521,338.17,0.2742999999999995
52.2,0.777,40.6,60,40,90,0,0.463,325.79,305.675,273.4709361,274.5024669,322.31,0.5028750000000002
90.3,1.326,119.9,60,120,60,0,0.893,353.51,305.25,273.9135444,274.1599505,333.65,0.4021666666666666
73.7,1.081,79.8,60,80,60,0,1.503,365.43,343.825,274.1205668,282.5202988,371.51,0.27006249999999954
52.2,0.775,40.5,60,40,60,0,0.613,335.19,304.55,273.4709361,274.5040064,352.47,0.7660000000000011
73.7,1.082,79.9,60,80,60,0,1.493,365.19,343.875,274.0923375,282.4244721,371.51,0.2664375
82.1,1.213,99.7,60,100,60,0,0.643,337.69,305.175,273.8118157,274.5073872,362.37,0.3251499999999999
91.3,1.335,122,60,120,60,0,2.363,375.31,370.075,274.5492855,282.7341449,333.65,0.04362499999999964
72.3,1.066,77.2,60,80,90,0,1.133,357.85,317.975,274.1039392,286.8815634,314.55,0.4984375
83.4,1.229,102.6,60,100,30,0,0.433,343.97,305.6,275.6533977,275.0341444,338.17,0.38370000000000004
73.8,1.085,80.2,60,80,30,0,1.023,357.21,321.375,275.6254798,293.373975,335.47,0.44793749999999977
74.4,1.088,80.9,60,80,0,0,0.573,378.53,304.55,273.776099,274.6128739,327.27,0.9247500000000002
89.9,1.325,119.3,60,120,0,0,0.743,322.51,300.875,274.5599645,273.9761356,344.51,0.1802916666666666
90.5,1.336,120.7,60,120,60,0,0.703,320.07,304.5,274.0621403,273.9886497,333.65,0.12974999999999995
52.2,0.775,40.6,60,40,60,0,0.593,332.57,304.6,273.453315,274.4678265,352.47,0.6992500000000007
73.9,1.085,80.4,60,80,30,0,1.203,360.19,329.525,273.9102631,293.7100543,335.47,0.38331249999999956
82,1.206,99,60,100,90,0,1.423,362.91,347.075,274.3554045,289.7044304,371.29,0.1583499999999998
73.6,1.081,79.7,60,80,60,0,1.473,364.71,339.75,273.9703658,283.2108151,371.51,0.3119999999999997
90.5,1.337,121.8,60,120,60,0,0.693,315.21,304.4,274.0177557,273.9886497,333.65,0.09008333333333335
71.9,1.058,76.3,60,80,90,0,1.403,363.07,339.65,273.9258866,281.9333175,314.55,0.2927499999999995
63.5,0.942,59.9,60,60,30,0,0.403,308.25,303.25,274.0637833,273.828233,351.05,0.08333333333333333
63.2,0.932,58.9,60,60,60,0,0.983,355.81,324.05,273.75663,284.2450439,342.29,0.5293333333333332
63.5,0.936,59.5,60,60,60,0,1.133,358.43,315.625,273.8297058,279.4957991,342.29,0.7134166666666658
72.4,1.068,77.4,60,80,90,0,0.973,354.01,318.325,274.5967204,294.7728853,314.55,0.44606250000000003
82.7,1.219,100.9,60,100,90,0,0.693,349.23,304.7,277.6016289,274.9210637,371.29,0.44529999999999975
82.9,1.217,101,60,100,30,0,1.043,358.81,333,275.632539,290.9746085,338.17,0.2581
52.8,0.782,41.4,60,40,30,0,0.633,340.83,304.4,273.9938009,274.3896236,0,0.9107500000000002
82.8,1.218,100.9,60,100,90,0,1.223,360.57,339.2,273.9258866,282.1483332,371.29,0.21370000000000006
74.1,1.086,80.4,60,80,60,0,1.193,359.87,322.6,273.8828028,283.372035,371.51,0.4658750000000005
63.2,0.932,59,60,60,60,0,0.993,355.41,322.375,273.830441,282.6169161,342.29,0.5505833333333328
52.2,0.773,40.5,60,40,60,0,0.623,339.89,304.55,273.4292848,274.494123,352.47,0.8835000000000008
73.7,1.085,80,60,80,0,0,0.603,342.07,303.075,273.7218391,274.3028949,327.27,0.4874375000000001
53.1,0.784,41.7,60,40,30,0,0.703,346.87,304.7,273.9323043,274.4576697,0,1.0542500000000004
72.3,1.064,76.9,60,80,90,0,1.473,363.49,345.375,274.1858571,289.5791154,314.55,0.2264374999999994
90.4,1.324,120,60,120,60,0,1.563,364.67,334.6,274.3529131,293.6768117,333.65,0.25058333333333327
90,1.315,118.4,60,120,0,0,1.183,387.13,307.7,274.4603435,278.7048777,344.51,0.6619166666666667
63.7,0.94,59.9,60,60,30,0,0.793,352.73,305.175,274.6152645,274.4,351.05,0.7925833333333334
90.5,1.324,120,60,120,30,0,1.783,373.47,345.325,276.2430567,294.8998467,0,0.2345416666666665
80.5,1.182,95.3,60,100,60,0,1.723,367.87,351.9,274.3149034,293.1249009,362.37,0.1597000000000003
83.2,1.221,101.5,60,100,30,0,1.263,367.95,340.95,275.8127054,289.9755758,338.17,0.27
51.6,0.769,39.8,60,40,60,0,0.533,313.41,304.5,273.5835897,274.5296135,352.47,0.2227499999999992
90.2,1.324,119.5,60,120,90,0,1.953,370.19,362.075,273.7524948,283.3778623,0,0.06762500000000007
63.2,0.939,59.5,60,60,60,0,0.513,318.55,303.3,273.7022681,274.5296135,342.29,0.25416666666666665
52.5,0.774,40.7,60,40,0,0,0.773,354.95,303.7,273.5437004,274.5223459,353.75,1.28125
63.5,0.933,59.3,60,60,0,0,0.973,366.81,306,273.6628353,275.6672737,352.85,1.0134999999999992
82,1.209,99.3,60,100,0,0,0.523,346.73,302.125,273.6368265,274.2736103,363.55,0.4460499999999996
73.9,1.085,80.3,60,80,30,0,1.343,361.65,340.175,274.4345233,297.4965774,335.47,0.2684375000000003
63.4,0.935,59.5,60,60,30,0,0.903,355.63,307.675,274.8283921,276.1813638,351.05,0.7992500000000007
89.7,1.315,118,60,120,0,0,1.123,361.81,301.725,274.0708692,274.209481,344.51,0.5007083333333332
63,0.927,58.3,60,60,30,0,1.073,361.01,311.1,276.3512498,274.9490738,351.05,0.8318333333333338
74.2,1.091,81.1,60,80,0,0,0.683,352.15,303.225,273.6744044,274.4026638,327.27,0.6115625000000001
80.4,1.18,94.8,60,100,60,0,1.593,366.73,351.625,274.1179876,290.8198189,362.37,0.1510499999999996
89.8,1.316,118.2,60,120,0,0,1.183,365.17,301.875,273.9908329,274.2465856,344.51,0.527458333333333
52.4,0.774,40.7,60,40,60,0,0.823,356.45,305,273.5307887,274.7088457,352.47,1.2862499999999997
73.2,1.084,79.6,60,80,60,0,0.643,312.79,304.7,273.6676872,274.1246794,371.51,0.10112499999999969
52.2,0.773,40.5,60,40,60,0,0.623,342.11,304.65,273.454959,274.4306248,352.47,0.9364999999999994
52.7,0.781,41.2,60,40,90,0,0.663,349.17,306.225,273.5063706,274.5485111,322.31,1.0736249999999998
74,1.085,80.3,60,80,60,0,1.053,356.85,314.8,273.9955767,282.0083294,371.51,0.5256250000000001
90.4,1.324,119.9,60,120,60,0,1.143,359.19,321.325,274.4356905,289.0323539,333.65,0.3155416666666663
91.1,1.332,121.4,60,120,60,0,1.843,370.11,355.725,274.0090693,286.5481031,333.65,0.11987499999999993
63.4,0.934,59.3,60,60,60,0,1.083,357.59,316.075,273.9824662,280.0538033,342.29,0.6919166666666664
52.1,0.774,40.4,60,40,60,0,0.573,321.63,304.55,273.5063706,274.4306248,352.47,0.42700000000000105
63.4,0.934,59.4,60,60,30,0,0.903,357.11,307.55,275.612316,276.1776504,351.05,0.826000000000001
82.3,1.209,99.7,60,100,90,0,1.683,368.33,355.5,274.8313685,289.26159,371.29,0.12829999999999983
73.7,1.084,80.1,60,80,30,0,0.933,354.75,313.275,274.7809506,279.3668454,335.47,0.5184375000000003
64.1,0.941,60.3,60,60,90,0,0.713,349.41,309.575,273.6222288,277.0856279,337.87,0.6639166666666664
51.9,0.774,40.3,60,40,90,0,0.453,321.23,305.675,273.4614482,274.5073872,322.31,0.3888750000000002
83.2,1.217,101.4,60,100,0,0,0.663,381.61,306,275.1103571,276.8724544,363.55,0.7560999999999996
63.7,0.937,59.8,60,60,30,0,1.013,364.35,311.075,276.9677218,274.2219919,351.05,0.8879166666666672
91.3,1.335,121.8,60,120,60,0,2.053,371.13,359.9,274.2045141,289.3788837,333.65,0.09358333333333349
82.3,1.212,99.9,60,100,90,0,1.023,357.19,317.425,274.2097169,280.0024327,371.29,0.39764999999999984
91,1.33,121.1,60,120,60,0,2.373,374.91,367.925,274.3800406,284.4673539,333.65,0.058208333333333445
82.3,1.207,99.5,60,100,30,0,1.173,366.01,337.025,276.1521659,290.6463568,338.17,0.28985000000000016
80.6,1.184,95.8,60,100,60,0,1.633,366.99,351.675,274.0405055,290.3128232,362.37,0.15315000000000054
72.2,1.063,76.9,60,80,90,0,1.473,363.75,346.05,274.5119838,287.2900141,314.55,0.22125000000000056
82.4,1.226,101.2,60,100,90,0,0.523,315.37,304.175,273.5063706,274.5814911,371.29,0.1119500000000005
90,1.316,118.5,60,120,30,0,1.693,379.19,344.3,274.5075714,293.5379867,0,0.29075000000000034
83.9,1.233,103.6,60,100,90,0,1.723,367.65,363.025,274.1221111,283.2423651,371.29,0.04625
90.1,1.32,119.3,60,120,30,0,1.463,365.51,336.95,275.3956625,294.5882835,0,0.23800000000000002
73.8,1.084,80.1,60,80,30,0,1.083,357.11,323.875,274.0949868,293.7406735,335.47,0.41543749999999946
52.2,0.777,40.7,60,40,30,0,0.383,306.37,303.075,273.4274887,273.9761356,0,0.08237500000000039
90.8,1.327,120.7,60,120,60,0,2.283,375.19,367.6,274.4852902,286.5737352,333.65,0.06324999999999979
90.4,1.327,120.1,60,120,90,0,1.923,369.97,362.425,274.0171793,285.4891991,0,0.06287500000000014
64.6,0.946,61.2,60,60,90,0,0.883,355.39,317.15,274.3698361,278.693164,337.87,0.6373333333333335
64.3,0.947,61,60,60,90,0,0.573,344.85,306.65,273.5437004,274.5665686,337.87,0.6366666666666665
63.7,0.943,60.2,60,60,30,0,0.603,335.43,304.45,273.4771085,274.1533278,351.05,0.5163333333333326
90.9,1.33,121,60,120,60,0,2.383,375.63,363.775,273.9938009,291.7801503,333.65,0.09879166666666682
74,1.086,80.5,60,80,60,0,0.943,355.39,307.35,274.0433085,274.9011901,371.51,0.6005000000000003
83.3,1.224,102.1,60,100,30,0,0.883,354.05,322.675,273.8882412,278.5557839,338.17,0.31375
81.8,1.203,98.6,60,100,60,0,0.853,356.41,313,277.1969742,282.5409531,362.37,0.4340999999999997
82.6,1.214,100.5,60,100,90,0,1.743,369.23,356.25,274.7333509,289.4462163,371.29,0.1298000000000002
52.2,0.777,40.7,60,40,90,0,0.453,323.81,305.675,273.4380972,274.5073872,322.31,0.4533750000000012
90.1,1.335,120.5,60,120,0,0,0.593,305.11,300.375,273.5077709,273.8446222,344.51,0.03945833333333297
51.9,0.772,40.2,60,40,90,0,0.483,332.77,305.75,273.3780351,274.4227922,322.31,0.6754999999999995
72.2,1.071,77.5,60,80,60,0,0.583,304.71,304.45,273.3449359,274.025595,371.51,0.0032499999999998862
52.2,0.775,40.6,60,40,0,0,0.483,318.65,303.975,273.4415476,274.5814911,353.75,0.3668750000000003
52.2,0.774,40.5,60,40,60,0,0.593,328.41,304.55,273.454959,274.4306248,352.47,0.5965000000000004
81.7,1.198,98.1,60,100,0,0,0.543,370.47,302.65,273.7085696,274.3583046,363.55,0.6781999999999999
81.8,1.202,98.7,60,100,0,0,0.563,360.41,302.525,273.6169047,274.3730427,363.55,0.5788499999999999
73.8,1.085,80.2,60,80,60,0,1.343,362.83,342,274.2116026,285.7675803,371.51,0.2603749999999998
82.5,1.224,101.2,60,100,90,0,0.523,317.81,304.175,273.6060702,274.6430394,371.29,0.13634999999999992
73.7,1.081,79.8,60,80,60,0,1.523,365.91,344.6,273.9135444,284.3155721,371.51,0.26637500000000003
90.4,1.327,120.1,60,120,90,0,1.923,369.89,362.675,274.7336666,285.094699,0,0.06012500000000027
52.2,0.775,40.5,60,40,0,0,0.503,321.75,303.95,273.4582207,274.6219601,353.75,0.4450000000000003
63.7,0.943,60.2,60,60,30,0,0.603,335.69,304.45,273.6115192,274.1533278,351.05,0.5206666666666668
90.1,1.32,119.1,60,120,30,0,1.443,363.93,338.475,273.9418333,293.0645466,0,0.21212499999999987
83.3,1.222,101.8,60,100,30,0,1.343,368.27,342.975,276.2023761,289.6741994,338.17,0.2529500000000002
90,1.319,119.1,60,120,30,0,1.413,365.09,338.7,274.6904545,292.6474357,0,0.21991666666666657
73.7,1.083,80.1,60,80,60,0,1.293,361.95,333.85,273.7582763,283.4498382,371.51,0.3512500000000003
73.9,1.084,80.3,60,80,30,0,1.413,364.89,338.75,274.8626004,300.2897617,335.47,0.3267499999999998
90.5,1.337,121.5,60,120,60,0,0.693,316.11,304.425,274.0599451,274.0116844,333.65,0.09737500000000002
72.3,1.066,77.3,60,80,90,0,0.973,354.75,315.35,274.4972194,286.1287005,314.55,0.49250000000000044
90.9,1.329,120.9,60,120,60,0,2.323,375.13,363.975,274.0483318,289.0744832,333.65,0.09295833333333357
90,1.326,119.2,60,120,90,0,0.893,356.67,305.025,274.1732302,275.2048723,0,0.43037499999999984
53.4,0.789,42.3,60,40,30,0,0.803,353.69,304.825,273.84857,274.482604,0,1.2216249999999989
89.6,1.311,117.5,60,120,30,0,1.483,374.43,339.775,275.6039764,294.5948712,0,0.28879166666666645
52.4,0.773,40.6,60,40,60,0,0.823,356.69,305.025,273.559878,274.6607945,352.47,1.2916250000000005
52.6,0.781,41.1,60,40,30,0,0.533,326.39,304.05,274.0949868,274.3610601,0,0.5585000000000008
91.2,1.334,122,60,120,60,0,2.143,373.01,363.025,273.9200649,286.8587259,333.65,0.08320833333333345
73,1.086,79.2,60,80,90,0,0.593,315.27,300.075,273.6618594,274.320114,314.55,0.18993749999999993
63.3,0.933,59.2,60,60,60,0,1.033,356.75,318.675,273.9562258,280.7947695,342.29,0.634583333333334
73.8,1.084,80.2,60,80,30,0,1.013,356.29,318.2,274.1514989,286.8879038,335.47,0.4761249999999997
90.4,1.329,120.3,60,120,90,0,1.823,368.97,353.5,274.1877861,285.3348266,0,0.12891666666666643
84,1.234,103.3,60,100,90,0,1.713,367.43,360.85,274.5090438,287.2423147,371.29,0.06579999999999984
52.1,0.775,40.5,60,40,0,0,0.443,309.23,304,273.4614482,274.6048769,353.75,0.13074999999999903
74,1.086,80.5,60,80,30,0,1.233,359.61,327.85,274.0708692,293.6845238,335.47,0.3969999999999999
89.9,1.319,118.7,60,120,30,0,0.553,346.57,303.8,276.4699398,274.0610434,0,0.356416666666667
73.7,1.085,80.1,60,80,30,0,0.733,349.35,313.75,274.590486,284.9934229,335.47,0.44499999999999956
52.7,0.781,41.2,60,40,30,0,0.543,328.89,304.125,274.1081232,274.3398879,0,0.6191249999999997
73.9,1.085,80.3,60,80,60,0,1.293,361.63,335.375,273.7720932,283.9901645,371.51,0.32818749999999997
73.7,1.084,80,60,80,30,0,0.903,355.29,312.775,275.1407285,279.3394399,335.47,0.5314374999999998
90.5,1.329,120.3,60,120,90,0,1.853,368.19,355.95,273.7768971,285.2790285,0,0.1019999999999996
52.6,0.781,41.2,60,40,90,0,0.643,348.55,306.05,273.5437004,274.489154,322.31,1.0625
52,0.768,40,60,40,0,0,0.623,342.45,303.825,273.4415476,274.6160036,353.75,0.965625
52.2,0.77,40.3,60,40,0,0,0.763,352.11,303.775,273.5214835,274.5721463,353.75,1.2083750000000009
82.6,1.212,100.4,60,100,30,0,1.213,360.75,336.2,273.9405694,290.7686454,338.17,0.2455000000000001
90.9,1.33,120.8,60,120,60,0,1.813,365.39,357.6,279.0477114,281.7656834,333.65,0.06491666666666683
82.1,1.207,99.3,60,100,90,0,1.413,363.75,348.3,274.1940307,289.9105688,371.29,0.15450000000000044
52.3,0.773,40.5,60,40,60,0,0.823,355.39,305.225,273.5281534,274.8653717,352.47,1.2541250000000006
90,1.323,119.3,60,120,90,0,1.883,369.43,360.9,273.7996153,283.8786222,0,0.07108333333333311
52.1,0.772,40.3,60,40,0,0,0.493,322.73,303.95,273.484664,274.6219601,353.75,0.4694999999999993
72.4,1.07,77.6,60,80,90,0,0.723,347.87,301.85,273.5462323,274.3801761,314.55,0.5752500000000005
64.4,0.947,61.1,60,60,90,0,0.513,337.87,306.55,273.582435,274.4306248,337.87,0.5220000000000008
73.7,1.082,80,60,80,60,0,1.503,365.37,338.775,274.0171793,283.4097515,371.51,0.33243750000000033
72.2,1.064,77,60,80,90,0,1.413,362.65,345.95,274.8337458,295.5296038,314.55,0.20874999999999985
72.1,1.061,76.6,60,80,90,0,1.513,364.35,347.15,274.3727019,288.5545448,314.55,0.21499999999999986
90.6,1.326,120.4,60,120,60,0,1.683,365.87,356.75,274.2844602,284.0986681,333.65,0.07600000000000004
90.3,1.326,120,60,120,60,0,0.843,347.91,305.125,273.961172,274.209481,333.65,0.3565416666666664
73.5,1.084,79.6,60,80,30,0,0.573,343.29,301.7,273.6912947,274.5320275,335.47,0.5198749999999996
91.3,1.335,122.1,60,120,60,0,2.343,375.29,369.925,274.551071,283.1950236,333.65,0.04470833333333341
63.8,0.944,60.4,60,60,0,0,0.563,326.69,303.975,273.5411521,274.4445398,352.85,0.3785833333333339
90.2,1.327,119.9,60,120,90,0,1.493,363.83,346.225,273.9967585,279.6180626,0,0.1467083333333335
72.3,1.065,77.2,60,80,90,0,1.353,361.47,342.05,274.7708023,290.899554,314.55,0.2427500000000002
52,0.767,40,60,40,0,0,0.723,348.19,303.7,273.454959,274.5223459,353.75,1.1122499999999989
90.1,1.317,118.9,60,120,0,0,1.193,383.13,304.025,274.0997368,274.3593387,344.51,0.6592083333333335
82.9,1.228,102,60,100,30,0,0.303,321.01,305.725,273.3016575,274.0116844,338.17,0.15285000000000026
73.5,1.082,79.6,60,80,60,0,0.703,335.85,305.2,273.6027693,274.1972185,371.51,0.3831249999999997
63.2,0.939,59.5,60,60,60,0,0.533,322.31,303.3,273.6819774,274.5296135,342.29,0.3168333333333332
52.5,0.776,40.8,60,40,60,0,0.723,350.49,304.7,273.5537326,274.4576697,352.47,1.1447500000000006
63.2,0.937,59.4,60,60,60,0,0.553,329.41,303.225,273.6115192,274.4801002,342.29,0.43641666666666673
72.4,1.068,77.6,60,80,90,0,0.923,353.49,318,274.8361198,294.9303428,314.55,0.4436250000000001
63.9,0.943,60.5,60,60,0,0,0.683,343.03,304.05,273.5334058,274.494123,352.85,0.649666666666667
63.9,0.942,60.2,60,60,0,0,0.693,344.39,304.05,273.5411521,274.494123,352.85,0.6723333333333339
52.3,0.771,40.4,60,40,0,0,0.763,353.07,303.775,273.5268289,274.5721463,353.75,1.2323749999999989
90,1.322,119.2,60,120,90,0,1.973,370.37,365.325,274.3170476,281.9969863,0,0.042041666666666797
73.9,1.083,80.2,60,80,60,0,1.203,359.39,329.8,273.7965292,285.6694515,371.51,0.3698750000000004
90,1.323,119.1,60,120,90,0,1.623,366.51,348.975,274.1834409,283.1834025,0,0.1461250000000002
91.2,1.334,121.4,60,120,60,0,2.063,372.27,359.425,274.0971008,290.4057961,333.65,0.1070416666666669
74,1.085,80.6,60,80,60,0,1.083,358.01,322.5,274.1810189,285.4648961,371.51,0.4438749999999999
63.3,0.932,59.2,60,60,60,0,0.953,355.13,320.4,274.0811283,282.7258376,342.29,0.5788333333333336
90.5,1.334,121,60,120,60,0,0.723,322.25,304.55,274.0637833,274.025595,333.65,0.14750000000000038
63.2,0.937,59.3,60,60,60,0,0.563,332.05,303.225,273.634768,274.4801002,342.29,0.4804166666666665
53.3,0.79,42.2,60,40,90,0,0.753,352.13,310.85,273.7261944,278.9849522,322.31,1.0320000000000007
63.8,0.941,60.1,60,60,0,0,0.713,346.31,304.05,273.5347077,274.494123,352.85,0.7043333333333331
63.2,0.933,59.1,60,60,60,0,0.693,350.89,304.8,274.7509372,276.0820073,342.29,0.7681666666666672
90.2,1.334,120.6,60,120,0,0,0.633,307.87,300.45,274.4717413,273.8938638,344.51,0.06183333333333347
82.3,1.212,99.9,60,100,90,0,1.013,356.51,318.025,274.1338699,280.3815858,371.29,0.38485000000000014
89.8,1.324,119,60,120,90,0,0.863,353.53,305.375,274.5453494,275.9120946,0,0.40129166666666644
63.8,0.942,60.2,60,60,30,0,0.643,342.77,304.675,273.453315,274.3115363,351.05,0.6349166666666671
82.8,1.214,100.6,60,100,30,0,1.363,371.05,342.425,283.9717374,291.2856693,338.17,0.28625
90,1.319,118.9,60,120,30,0,1.413,365.47,338.7,275.139221,292.6474357,0,0.2230833333333332
84,1.234,103.8,60,100,90,0,1.713,367.93,363.425,274.0593954,283.2417045,371.29,0.04504999999999995
52.6,0.778,41,60,40,60,0,0.723,350.13,304.7,273.484664,274.4576697,352.47,1.1357500000000003
90,1.317,118.7,60,120,0,0,1.303,373.47,302.1,273.9258866,274.2530261,344.51,0.59475
83.4,1.229,102.6,60,100,30,0,0.393,340.37,304.8,274.6067086,274.2530261,338.17,0.3557000000000005
90.4,1.33,120.5,60,120,30,0,0.423,327.11,303.35,276.589186,273.9624038,0,0.19799999999999993
82.4,1.209,99.8,60,100,30,0,1.193,362.49,336.825,275.0402381,291.7307024,338.17,0.2566500000000002
63.5,0.935,59.4,60,60,30,0,0.923,357.81,308.725,276.112769,276.9,351.05,0.8180833333333329
52.6,0.778,41,60,40,60,0,0.713,350.07,304.725,273.4771085,274.4801002,352.47,1.1336250000000008
72.4,1.067,77.5,60,80,90,0,1.013,355.89,318.025,274.7383954,288.0828218,314.55,0.47331250000000014
73.4,1.082,79.4,60,80,60,0,0.713,336.91,305.225,273.6274935,274.209481,371.51,0.39606250000000004
89.4,1.315,117.6,60,120,90,0,1.363,358.05,351.725,276.5770979,279.2247428,0,0.05270833333333324
89.4,1.315,117.3,60,120,90,0,1.343,357.55,350.325,278.3384487,280.5298713,0,0.06020833333333305
89.8,1.308,117.7,60,120,0,0,1.093,394.21,309.5,282.1448874,280.5208887,344.51,0.7059166666666665
52.1,0.769,40.2,60,40,0,0,0.723,348.99,303.75,273.5281534,274.5594916,353.75,1.1310000000000002
53.6,0.793,42.6,60,40,90,0,0.713,352.45,312.1,273.8745688,279.9619992,322.31,1.0087500000000005
89.9,1.309,117.9,60,120,0,0,1.153,394.85,311.175,281.9149872,282.6031741,344.51,0.6972916666666668
73.7,1.081,79.9,60,80,60,0,1.503,365.23,346.675,274.2666915,282.1549523,371.51,0.23193750000000007
83.7,1.23,103.1,60,100,90,0,1.743,368.23,362.875,274.3445711,282.9020511,371.29,0.05355000000000018
52.5,0.776,40.9,60,40,60,0,0.683,349.19,304.7,273.5007136,274.4678265,352.47,1.1122499999999989
52.7,0.781,41.2,60,40,90,0,0.593,345.83,305.875,273.4614482,274.4367919,322.31,0.9988749999999996
51.6,0.769,39.8,60,40,60,0,0.503,311.77,304.5,273.6104346,274.5296135,352.47,0.18174999999999955
90.1,1.32,119.4,60,120,30,0,1.393,366.13,336.575,276.3315091,293.396049,0,0.24629166666666671
90.6,1.325,120.1,60,120,30,0,1.733,375.11,345,276.9877076,295.4528399,0,0.2509166666666668
80.5,1.181,95.3,60,100,60,0,1.743,368.65,351.525,274.0131338,292.7459817,362.37,0.17125
71.7,1.055,75.9,60,80,90,0,1.433,363.15,344.85,274.0773618,285.9377546,314.55,0.22875000000000015
89.9,1.316,118.5,60,120,0,0,1.363,375.81,302.125,274.0119745,274.2706397,344.51,0.6140416666666663
64.3,0.943,60.8,60,60,90,0,0.883,354.99,314,274.156479,277.5199733,337.87,0.6831666666666668
74.3,1.086,80.7,60,80,0,0,0.553,383.69,304,273.8230527,274.4678265,327.27,0.9961249999999993
89.9,1.325,118.9,60,120,90,0,0.883,354.31,305.325,274.5775854,275.6498333,0,0.40820833333333295
81.1,1.191,96.8,60,100,60,0,1.273,361.07,333.525,274.031476,284.3080688,362.37,0.2754499999999996
73.9,1.084,80.3,60,80,30,0,1.203,361.95,330.475,275.7976405,293.3444506,335.47,0.3934375000000003
80.8,1.185,95.9,60,100,60,0,1.703,371.19,348.8,274.6409728,295.6605161,362.37,0.22390000000000043
90.7,1.327,120.4,60,120,60,0,1.733,365.97,357.325,275.2928952,282.416202,333.65,0.07204166666666652
82.8,1.215,100.8,60,100,30,0,1.123,360.91,334.275,275.1419839,289.7843771,338.17,0.2663499999999999
90,1.322,119.1,60,120,0,0,0.903,347.33,301.475,274.145992,274.1104686,344.51,0.38212500000000016
63.6,0.933,59.3,60,60,0,0,1.023,365.53,305.625,277.3179731,275.4191775,352.85,0.9984166666666662
