voltage,current,power,FR[%],Q[W],alpha,beta,P[bar],Te_mean[K],Tc_mean[K],Te_std[K],Tc_std[K],T_pulse[K]
89.6,1.313,117.8,60,120,90,30,1.613,366.60999999999996,347.9,273.8627411872482,291.41225615853637,0.0
72.5,1.072,78.0,60,80,90,0,0.6529999999999999,339.45,301.17499999999995,273.54999999999995,274.25264832713486,347.77
81.9,1.202,98.7,60,100,90,60,1.073,358.57,332.95,274.5072030061859,294.0144833788586,339.42999999999995
63.0,0.927,58.5,60,60,90,90,0.7529999999999999,367.99,308.25,274.00906926379656,276.02170100579195,306.53
82.6,1.209,100.1,60,100,90,90,0.7529999999999999,374.42999999999995,305.825,273.8260177512462,273.87284161474,363.90999999999997
52.2,0.773,40.4,60,40,90,90,0.47299999999999986,337.95,304.45,273.38452078799116,274.2901754250991,353.92999999999995
63.1,0.928,58.7,60,60,90,90,0.7829999999999999,367.37,306.825,273.75991802727907,274.3510412149464,306.53
0.0,0.0,0.0,60,80,90,30,0.30299999999999994,305.59,302.7,273.4786335345031,274.52234592334923,354.84999999999997
52.6,0.781,41.1,60,40,90,0,0.6129999999999999,347.37,305.875,273.4088435821109,274.4367918764638,340.30999999999995
72.8,1.07,77.9,60,80,90,60,1.013,359.42999999999995,328.125,275.1228152473052,286.7863179292163,341.54999999999995
82.0,1.203,98.9,60,100,90,60,1.1429999999999998,358.34999999999997,341.15,273.6791502622129,288.3183881806868,339.42999999999995
62.6,0.927,58.1,60,60,90,0,1.043,354.78999999999996,306.54999999999995,273.57190046219455,274.4941230102437,0.0
62.7,0.926,58.2,60,60,90,0,1.363,363.22999999999996,323.075,274.2394952959972,279.6247586827618,0.0
63.8,0.951,60.8,60,60,90,0,0.8029999999999999,315.71,305.97499999999997,273.60607017003963,274.57916059279563,0.0
52.1,0.772,40.3,60,40,90,90,0.46299999999999986,336.71,304.4,273.3802172886644,274.26205515450744,353.92999999999995
83.0,1.219,101.3,60,100,90,30,1.1929999999999998,359.84999999999997,332.525,273.99557672626435,293.62752833392415,329.90999999999997
71.3,1.05,75.1,60,80,90,0,1.4629999999999999,363.96999999999997,338.5,273.83337398253076,282.2118246874824,347.77
72.3,1.066,77.3,60,80,90,0,1.1429999999999998,358.22999999999996,317.25,274.63391374412396,286.01571671795494,347.77
63.3,0.94,59.6,60,60,90,90,0.46299999999999986,312.98999999999995,302.775,273.5146916505762,273.84462219947244,306.53
52.4,0.774,40.7,60,40,90,90,0.5129999999999999,345.39,304.825,273.4466479394838,274.4026638282742,353.92999999999995
52.7,0.781,41.3,60,40,90,0,0.6729999999999998,349.51,306.22499999999997,273.4380972058177,274.54851111305317,340.30999999999995
89.9,1.317,118.5,60,120,90,60,1.7429999999999999,367.87,352.25,273.8260177512462,287.8171969601102,357.07
51.2,0.756,38.8,60,40,90,30,0.42299999999999993,331.45,304.45,273.4328427124746,274.2901754250991,322.60999999999996
82.5,1.208,99.8,60,100,90,90,0.8429999999999999,377.28999999999996,315.09999999999997,276.4238356708912,282.0188593779959,363.90999999999997
72.7,1.076,78.2,60,80,90,0,0.6329999999999999,331.95,300.7,273.7287918451395,274.3233143937865,347.77
62.8,0.927,58.4,60,60,90,0,1.333,362.73,310.875,273.90299402388064,276.7981730587606,0.0
72.1,1.062,76.7,60,80,90,0,1.313,360.78999999999996,337.625,274.5240451229854,288.07031612712456,347.77
74.0,1.09,80.8,60,80,90,90,0.47299999999999986,339.13,305.22499999999997,287.7591409740614,274.1378427675158,354.48999999999995
62.9,0.93,58.7,60,60,90,0,1.2229999999999999,360.78999999999996,308.59999999999997,273.9549844718999,275.7377918514955,0.0
73.1,1.074,78.7,60,80,90,30,0.6929999999999998,348.16999999999996,314.59999999999997,273.7390670590009,278.4241508005239,354.84999999999997
52.0,0.775,40.4,60,40,90,0,0.46299999999999986,326.37,305.67499999999995,273.45331501776207,274.4367918764638,340.30999999999995
72.2,1.063,77.0,60,80,90,0,1.343,361.61,344.575,274.51124942607885,293.09331550503407,347.77
73.8,1.082,80.0,60,80,90,90,0.583,345.59,305.59999999999997,274.19785495179434,274.1876254944182,354.48999999999995
62.7,0.926,58.1,60,60,90,0,1.3929999999999998,363.78999999999996,322.825,274.1210818709048,277.52978309965226,0.0
89.8,1.315,118.2,60,120,90,60,1.7129999999999999,367.46999999999997,351.575,274.05388052307813,288.11738120046385,357.07
83.9,1.233,103.8,60,100,90,0,1.7129999999999999,367.21,361.025,274.39619420637393,287.0036096379247,371.28999999999996
74.0,1.09,80.8,60,80,90,90,0.45299999999999985,329.57,305.2,274.1973776778221,274.05369611411504,354.48999999999995
82.5,1.214,100.3,60,100,90,0,1.1629999999999998,359.42999999999995,339.65,274.1997618777608,281.16540184062325,371.28999999999996
62.1,0.917,57.1,60,60,90,0,1.403,365.01,317.47499999999997,273.3173320053068,277.19011138460314,0.0
63.5,0.934,59.5,60,60,90,90,0.7929999999999999,363.33,305.04999999999995,273.6569516742254,274.28431330181155,306.53
83.2,1.223,102.1,60,100,90,0,1.7329999999999999,367.69,357.025,274.068150314491,286.31671940917704,371.28999999999996
64.2,0.947,61.0,60,60,90,60,0.6629999999999999,347.27,316.325,273.68572380943914,279.94528022478346,331.63
63.1,0.935,59.0,60,60,90,90,0.5329999999999999,325.60999999999996,303.4,273.48615472627944,274.05369611411504,306.53
52.0,0.775,40.4,60,40,90,0,0.44299999999999995,320.77,305.67499999999995,273.4771085446759,274.5073871960498,340.30999999999995
62.3,0.919,57.4,60,60,90,0,1.353,363.66999999999996,322.125,274.15598210719673,280.5185706438449,0.0
72.4,1.072,77.6,60,80,90,0,0.6529999999999999,337.87,301.29999999999995,273.5824349662088,274.28578166916003,347.77
90.5,1.33,120.6,60,120,90,0,1.9129999999999998,369.39,364.42499999999995,274.92848249921104,283.27896013089855,0.0
90.0,1.32,119.2,60,120,90,30,1.123,358.11,332.575,274.068150314491,292.9875695755974,0.0
52.2,0.775,40.5,60,40,90,60,0.45299999999999985,321.59,303.67499999999995,273.4201851217221,274.17428837085396,349.57
90.6,1.326,120.4,60,120,90,60,1.7329999999999999,367.63,352.575,273.889594483484,286.90678620414906,357.07
90.3,1.327,120.3,60,120,90,0,1.9929999999999999,370.59,363.15,273.8627411872482,282.59528100870125,0.0
72.6,1.067,77.6,60,80,90,30,0.8729999999999999,353.30999999999995,328.275,273.8936396977031,289.80920666378404,354.84999999999997
53.3,0.79,42.2,60,40,90,0,0.7329999999999999,352.28999999999996,310.97499999999997,274.4796616110876,278.9903053573136,340.30999999999995
74.3,1.1,82.0,60,80,90,90,0.3829999999999999,310.28999999999996,304.29999999999995,274.07897793299946,273.7302298395176,354.48999999999995
82.1,1.207,99.3,60,100,90,60,0.8829999999999999,352.92999999999995,332.29999999999995,274.11280839215283,289.86097443797536,339.42999999999995
62.8,0.928,58.4,60,60,90,0,1.1929999999999998,359.77,309.97499999999997,273.73051701094795,277.4070529712466,0.0
89.8,1.32,118.7,60,120,90,30,0.5229999999999999,343.46999999999997,312.47499999999997,275.51262565803387,287.4114573822827,0.0
73.7,1.081,79.9,60,80,90,90,0.6829999999999998,342.83799999999997,306.075,287.1954875315882,274.03459030064766,354.48999999999995
0.0,0.0,0.0,60,80,90,30,0.31299999999999994,305.53,302.7,273.46144823004795,274.52234592334923,354.84999999999997
53.1,0.787,41.9,60,40,90,0,0.7229999999999999,351.25,309.92499999999995,274.19163333279994,278.1194902488417,340.30999999999995
50.5,0.744,37.6,60,40,90,30,0.573,352.30999999999995,305.325,273.52815340802374,274.4725606476327,322.60999999999996
90.0,1.322,119.0,60,120,90,0,1.943,370.15,362.22499999999997,273.8745688373094,283.44218959535175,0.0
73.3,1.077,79.0,60,80,90,60,0.9029999999999999,357.46999999999997,326.54999999999995,278.82291812033276,286.9726866660091,341.54999999999995
89.6,1.312,117.6,60,120,90,30,1.6029999999999998,366.46999999999997,349.72499999999997,274.01717933554716,288.4484476336653,0.0
74.0,1.084,80.4,60,80,90,90,1.1929999999999998,366.63,333.84999999999997,275.31956216781174,285.072248110151,354.48999999999995
52.3,0.774,40.6,60,40,90,90,0.5029999999999999,344.42999999999995,304.75,273.4088435821109,274.35277457017787,353.92999999999995
91.0,1.333,121.3,60,120,90,90,0.6129999999999999,356.09,303.84999999999997,273.8731873892706,274.15332779621946,349.03
83.0,1.218,101.2,60,100,90,30,1.1729999999999998,359.80999999999995,333.2,274.0735799911215,295.5893255988974,329.90999999999997
74.2,1.087,80.7,60,80,90,90,0.8029999999999999,367.47,308.775,274.5524977718342,275.17875166871977,354.48999999999995
64.2,0.945,60.7,60,60,90,30,0.7029999999999998,352.59,317.92499999999995,274.43179561553313,285.6930923885087,349.99
90.5,1.331,120.5,60,120,90,60,0.593,345.01,314.97499999999997,275.0507893097342,292.657669431961,357.07
50.6,0.746,37.8,60,40,90,30,0.5529999999999999,351.04999999999995,305.22499999999997,273.5307886552932,274.48260396717603,322.60999999999996
64.3,0.952,61.3,60,60,90,60,0.4029999999999999,329.04999999999995,304.2,273.48911649915624,274.2003967504392,331.63
82.3,1.223,100.8,60,100,90,0,0.5229999999999999,318.75,304.17499999999995,273.6398979485566,274.6430394055974,371.28999999999996
73.4,1.086,79.8,60,80,90,30,0.32299999999999995,317.10999999999996,302.7,273.7607372593841,274.52234592334923,354.84999999999997
90.4,1.322,119.4,60,120,90,90,0.603,367.37,307.0,274.2509087155618,276.3096413298558,349.03
73.9,1.097,81.2,60,80,90,30,0.32299999999999995,307.13,302.72499999999997,273.54623225512313,274.5389444433334,354.84999999999997
52.3,0.775,40.7,60,40,90,60,0.5029999999999999,333.90999999999997,304.25,273.4009980079602,274.35277457017787,349.57
63.0,0.93,58.6,60,60,90,0,1.363,363.09,313.7,273.9824662155307,278.93302112509826,0.0
72.4,1.067,77.5,60,80,90,0,1.013,355.89,318.025,274.73839541676494,288.0828217918338,347.77
90.0,1.317,118.8,60,120,90,60,1.5829999999999997,371.71,347.04999999999995,274.8272000476985,292.47563064947684,357.07
72.4,1.064,77.2,60,80,90,30,0.8729999999999999,353.40999999999997,329.4,273.8042170893518,289.8709449493741,354.84999999999997
73.3,1.079,79.2,60,80,90,60,0.7129999999999999,350.33,315.9,274.8224233913695,280.36410655128776,341.54999999999995
83.1,1.218,101.3,60,100,90,30,1.4629999999999999,364.66999999999996,349.2,274.0084870412534,285.21662062606316,329.90999999999997
82.1,1.206,99.2,60,100,90,0,1.363,362.73,343.95,274.8373055443517,286.9367085750491,371.28999999999996
64.0,0.948,60.8,60,60,90,30,0.32299999999999995,321.59,305.59999999999997,273.5347076812334,274.59337567297405,349.99
73.8,1.084,80.1,60,80,90,90,0.5229999999999999,341.40999999999997,305.47499999999997,274.2468135666557,274.16775897605146,354.48999999999995
62.7,0.927,58.2,60,60,90,0,1.063,356.16999999999996,306.59999999999997,273.5994441010849,274.46021626713554,0.0
82.2,1.213,99.8,60,100,90,30,0.47299999999999986,333.66999999999996,304.325,273.8690271204899,274.20948100502085,329.90999999999997
63.1,0.934,59.0,60,60,90,0,0.9729999999999999,348.37,306.34999999999997,273.55865633483404,274.56656862405833,0.0
72.3,1.065,77.1,60,80,90,0,1.2229999999999999,359.73,331.09999999999997,274.4137246535539,286.1013191091358,347.77
82.1,1.209,99.5,60,100,90,0,1.123,358.63,315.9,274.14599196783905,278.80125354825515,371.28999999999996
82.6,1.212,100.3,60,100,90,30,1.4129999999999998,364.44999999999993,338.84999999999997,274.80831239517767,294.6291371645449,329.90999999999997
72.3,1.063,76.9,60,80,90,0,1.553,365.01,345.72499999999997,274.07086915465766,290.0087020061846,347.77
89.8,1.314,118.2,60,120,90,60,1.7429999999999999,367.69,352.15,273.81932802122725,288.81673758849195,357.07
63.0,0.93,58.7,60,60,90,0,1.3729999999999998,363.95,312.65,273.6398979485566,277.20873543524743,0.0
90.6,1.324,119.9,60,120,90,90,1.1729999999999998,371.09,341.97499999999997,277.439871792956,287.658934029303,349.03
74.2,1.088,80.9,60,80,90,90,0.8029999999999999,367.33,309.0,274.5737275020171,275.23246648632494,354.48999999999995
51.2,0.755,38.7,60,40,90,30,0.45299999999999985,336.33,304.65,273.4274887385102,274.361060141639,322.60999999999996
90.0,1.316,118.5,60,120,90,30,1.4729999999999999,367.19,346.875,276.4617970952339,289.9,0.0
82.0,1.205,99.1,60,100,90,30,0.9529999999999998,354.34999999999997,330.42499999999995,273.84641941385917,294.4213226355736,329.90999999999997
64.5,0.952,61.5,60,60,90,30,0.42299999999999993,341.09,305.5,273.8230527468185,274.5979871085982,349.99
89.7,1.317,118.3,60,120,90,30,0.7029999999999998,348.06999999999994,312.625,274.44305839001953,280.0605595528389,0.0
89.6,1.312,117.7,60,120,90,30,1.613,366.95,348.9,273.7903124237433,292.2751143787429,0.0
74.0,1.09,80.7,60,80,90,90,0.47299999999999986,332.09,305.275,274.25136279218066,274.1035023160258,354.48999999999995
51.0,0.752,38.4,60,40,90,30,0.5129999999999999,346.46999999999997,305.125,273.46144823004795,274.4725606476327,322.60999999999996
72.8,1.071,78.2,60,80,90,30,0.46299999999999986,349.96999999999997,303.47499999999997,273.8759476565152,274.7570158679988,354.84999999999997
82.2,1.213,99.8,60,100,90,30,0.47299999999999986,334.27,304.375,273.8690271204899,274.23742815854655,329.90999999999997
53.3,0.79,42.2,60,40,90,0,0.7029999999999998,351.46999999999997,311.0,274.03430763877736,279.1263422481202,340.30999999999995
82.0,1.204,99.0,60,100,90,60,0.9529999999999998,356.39,328.0,274.95776104615624,287.16772687230946,339.42999999999995
74.1,1.086,80.6,60,80,90,90,1.263,364.89,333.875,275.28611797427016,286.74518910007015,354.48999999999995
73.1,1.081,79.2,60,80,90,30,0.3629999999999999,325.28999999999996,302.59999999999997,273.70946402922795,274.52234592334923,354.84999999999997
90.4,1.328,120.0,60,120,90,0,1.773,367.63,355.0,273.79187226143523,284.9252565435606,0.0
51.8,0.77,40.0,60,40,90,30,0.34299999999999986,310.81,303.125,273.4709361307176,273.87743842809317,322.60999999999996
72.0,1.06,76.5,60,80,90,0,1.4229999999999998,362.28999999999996,340.5,275.0769146322554,292.5139699786313,347.77
63.4,0.932,59.1,60,60,90,90,0.7829999999999999,364.28999999999996,305.0,273.6529910535983,274.2530261405183,306.53
74.2,1.087,80.8,60,80,90,90,1.263,365.75,334.125,275.7200194551793,286.9101780511736,354.48999999999995
51.2,0.755,38.8,60,40,90,30,0.44299999999999995,336.42999999999995,304.65,273.4363564212655,274.361060141639,322.60999999999996
89.9,1.324,118.8,60,120,90,0,1.113,357.75,328.575,274.80981926726975,288.54423593427094,0.0
74.3,1.09,81.1,60,80,90,90,0.7829999999999999,366.46999999999997,306.525,282.21294654072284,274.1807764064044,354.48999999999995
72.4,1.069,77.8,60,80,90,0,0.7329999999999999,349.28999999999996,301.95,273.58358966777354,274.42279220613574,347.77
73.1,1.076,78.7,60,80,90,60,0.9129999999999999,356.13,332.84999999999997,276.8394444026167,291.8650563272819,341.54999999999995
74.3,1.088,81.0,60,80,90,90,1.2429999999999999,365.15,334.09999999999997,274.7072411502397,286.9462555306382,354.48999999999995
73.9,1.09,80.8,60,80,90,90,0.45299999999999985,324.97799999999995,305.04999999999995,277.19511062889507,274.0217797887081,354.48999999999995
52.1,0.77,40.2,60,40,90,60,0.6729999999999998,348.61,306.47499999999997,273.63270073544584,274.9746004128758,349.57
83.9,1.233,103.6,60,100,90,0,1.783,368.63,362.92499999999995,274.29978258814435,282.683930633969,371.28999999999996
82.6,1.214,100.5,60,100,90,0,1.7429999999999999,368.21,359.525,275.2243673734418,285.4092482096851,371.28999999999996
90.0,1.322,119.1,60,120,90,0,1.923,369.78999999999996,362.42499999999995,273.906967634711,282.76262191080036,0.0
90.3,1.334,120.7,60,120,90,60,0.3729999999999999,321.83,302.5,273.9258865896508,273.9352812659593,357.07
89.4,1.314,117.2,60,120,90,0,1.313,357.95,349.29999999999995,276.6061539317571,278.29360444305996,0.0
52.2,0.772,40.3,60,40,90,90,0.4829999999999999,340.13,304.59999999999997,273.4088435821109,274.32046999107195,353.92999999999995
71.9,1.059,76.3,60,80,90,0,1.403,362.78999999999996,339.04999999999995,274.36778487426966,280.81724635489604,347.77
72.5,1.069,77.4,60,80,90,0,0.8729999999999999,352.83,311.67499999999995,274.82690190530036,285.9203758754392,347.77
72.8,1.07,77.9,60,80,90,30,0.8429999999999999,352.33,326.275,273.7800793600809,285.9911772565187,354.84999999999997
82.8,1.214,100.9,60,100,90,30,1.4329999999999998,366.83,339.0,275.48066514111315,294.5162506459759,329.90999999999997
89.7,1.313,118.0,60,120,90,30,1.6229999999999998,366.28999999999996,348.45,273.7965291950098,288.93416928444447,0.0
64.4,0.954,61.5,60,60,90,60,0.3729999999999999,322.33,304.09999999999997,273.4846640106136,274.1746950765959,331.63
82.1,1.206,99.2,60,100,90,90,0.7629999999999999,355.33,306.95,274.63727939540627,274.6196938456699,363.90999999999997
82.5,1.212,100.1,60,100,90,0,1.533,365.37,353.7,274.0918067742377,288.5221609844983,371.28999999999996
72.4,1.068,77.5,60,80,90,0,0.9429999999999998,354.53,315.125,274.52003649586425,287.0815888062585,347.77
50.5,0.744,37.7,60,40,90,30,0.5529999999999999,352.57,305.34999999999997,273.5647288270665,274.48915396177335,322.60999999999996
