alpha,c3,c2,c1,c0
0,-7.080208333333298e-07,0.0002779214285714276,-0.039202220238095165,2.3785899999999973
30,1.93916666666661e-06,-0.00025942142857141433,-0.009764738095239225,1.889472000000028
60,-2.5120833333333046e-06,0.0008130928571428506,-0.08844502380952332,3.5765379999999865
90,1.864166666666586e-06,-0.0003330535714285515,0.004031404761903231,1.3004400000000376
