Q[W],TR_mean,U95
40,1.1741577060931898,0.006580742118409118
40,1.1741588785046728,0.006963280964596306
40,1.1532561505065122,0.005733786487505741
40,1.032861842105263,0.0021759316287396535
60,0.8716164817749604,0.007012787848293463
60,0.8007757805108798,0.003119539959284214
60,0.6552085106382979,0.004067830373152512
60,0.7688974556669237,0.004919883023396449
80,0.6547557003257328,0.008514087894998443
80,0.4029707112970711,0.005652222153518417
80,0.39574105621805794,0.006698477722163222
80,0.30261625176139034,0.0050015913971099115
100,0.5283512544802867,0.006903959686052283
100,0.2749466950959488,0.004026662201148432
100,0.29573849878934627,0.007538761631696971
100,0.2672859450726979,0.009824300649232781
120,0.4494303797468355,0.0074158313908042105
120,0.3068862275449102,0.004395138876989534
120,0.3027950310559006,0.008941338965895194
120,0.19159904534606206,0.00758368238011204
