Q[W],alpha,beta,TR_mean,TR_std,n,uc,U95,CV_%
40,0,0,1.23043,0.04046,328,0.00223,0.00447,3.2884
40,30,0,1.22605,0.05576,425,0.0027,0.00541,4.54772
40,60,0,1.1959,0.05181,454,0.00243,0.00486,4.33194
40,90,0,1.02688,0.03329,587,0.00137,0.00275,3.24229
60,0,0,0.85257,0.04784,245,0.00306,0.00611,5.61149
60,30,0,0.79667,0.02849,670,0.0011,0.0022,3.57568
60,60,0,0.64345,0.06644,1025,0.00208,0.00415,10.32502
60,90,0,0.80139,0.06142,360,0.00324,0.00647,7.66478
80,0,0,0.64964,0.03557,137,0.00304,0.00608,5.47556
80,30,0,0.47277,0.049,430,0.00236,0.00473,10.36439
80,60,0,0.49214,0.09326,471,0.0043,0.00859,18.95006
80,90,0,0.45672,0.10151,475,0.00466,0.00932,22.22664
100,0,0,0.52761,0.02842,134,0.00246,0.00491,5.38684
100,30,0,0.27335,0.07171,436,0.00343,0.00687,26.2339
100,60,0,0.3998,0.06632,305,0.0038,0.0076,16.58873
100,90,0,0.33331,0.0985,281,0.00588,0.01175,29.55315
120,0,0,0.44617,0.02508,81,0.00279,0.00557,5.62075
120,30,0,0.33083,0.02717,157,0.00217,0.00434,8.21386
120,60,0,0.35766,0.04148,141,0.00349,0.00699,11.5987
120,90,0,0.2316,0.1249,394,0.00629,0.01259,53.93157
