alpha,c5,c4,c3,c2,c1,c0
0,-4.569553668518762e-11,5.848527174075926e-09,7.465642255180895e-07,-5.176333478069812e-05,-0.017123107447895216,1.8838325165226963
30,-5.685039171279127e-10,1.2218021268449095e-07,3.443196380718512e-07,-0.001484290782860101,0.0828022306829671,-0.039666974937518154
60,8.51178924268513e-11,-2.709403197073715e-08,1.682309330463693e-06,0.0003974092291395348,-0.06621365724902474,3.1189283758486344
90,-1.508282078384383e-09,3.1566178968706584e-07,2.2192780684164654e-07,-0.0037985232396305726,0.2517431449600433,-3.6270780914030056
