Q[W],TR[K/W]
10,1.0248357076505616
10,0.9930867849414408
10,1.0323844269050346
10,1.0761514928204012
10,0.9882923312638332
10,0.988293152152541
10,1.0789606407753696
10,1.0383717364576455
10,0.9765262807032524
10,1.0271280021792983
20,0.4768291153593769
20,0.4767135123214872
20,0.5120981135783017
20,0.4043359877671101
20,0.41375410837434834
20,0.4718856235379514
20,0.4493584439832788
20,0.5157123666297637
20,0.45459879622393945
20,0.42938481493323544
30,0.406615771779411
30,0.32204451830900654
30,0.3367097435677295
30,0.26209592402266046
30,0.30611419710707416
30,0.33887946281882664
30,0.2757836544622182
30,0.3521182342506169
30,0.30330139883739304
30,0.31874864584366946
40,0.21991466938853016
40,0.3426139092254469
40,0.2493251387631033
40,0.19711445355220497
40,0.29112724560515946
40,0.18895781750144888
40,0.2604431797502378
40,0.15201649380601123
40,0.18359069755507845
40,0.2598430617934562
50,0.23692332899977053
50,0.20856841405949852
50,0.194217585880588
50,0.18494481522053557
50,0.12607390048162864
50,0.16400778958026457
50,0.17696806145201063
50,0.2528561113109458
50,0.21718091447842308
50,0.11184799223186331
60,0.1828708651364064
60,0.14741255264585082
60,0.1328205666513687
60,0.19725048110871005
60,0.21821664279146422
60,0.21323067262247658
60,0.12470579050553474
60,0.15120604787410594
60,0.18322983823684486
60,0.21544392302278462
70,0.11889843096487834
70,0.133574194023952
70,0.08754039415684144
70,0.08304681165310931
70,0.18348343397685274
70,0.210669144285684
70,0.13925663677812616
70,0.19303378775174407
70,0.16093894410952456
70,0.11060115512688663
80,0.1430697802754207
80,0.20190182832329845
80,0.12320869804450242
80,0.20323218279070032
80,-0.00598725520448723
80,0.16609512521876119
80,0.12935235341190857
80,0.11004963247670663
80,0.1295880388267751
80,0.025621554269955354
90,0.1001275167192355
90,0.12896673968669842
90,0.18500581334818691
90,0.08519760019742874
90,0.07068643096645172
90,0.08602325893188428
90,0.15688121699621482
90,0.12754866659409533
90,0.08462310092275917
90,0.13677448276677892
100,0.10485387746740202
100,0.14843224952664447
100,0.06489734530613239
100,0.08361689267011159
100,0.08039459234339212
100,0.026824252593394077
100,0.1148060138532288
100,0.11305276360899447
100,0.10025567283212306
100,0.08827064333124265
120,0.012564796230812608
120,0.062301067195065375
120,0.06619760750699485
120,0.04321946987225238
120,0.07526904775003287
120,0.10353587617406025
120,0.17764262839385986
120,0.09206222397492528
120,0.09621085286947155
120,0.07961103754502497
